,id_districtname,id_regionname,villmtaaname,hh_size,mealsperday,Student_age,Dropout,SchoolhasGirlsroom,PTR,PCR,GPLR,BPLR,PTMR,Student_readbookwithparent,Parentteacherdiscussion,ParentCheckChildbook,EA_area,Studentsex,Income__source
13772,4,17,225,4,3,14,1,1,38.4857139587402,112.25,663.0,684.0,0.0,2,2,2,3,1,2
3894,40,0,461,4,3,7,1,1,21.629629135131804,64.88888549804689,40.625,86.3333358764648,584.0,2,1,1,2,2,2
29325,139,22,3641,5,2,12,1,2,42.538459777831996,55.2999992370605,24.25,21.8333339691162,110.599998474121,2,1,1,2,1,2
38964,54,20,3027,13,3,9,1,2,63.8571434020996,63.8571434020996,59.25,105.0,37.25,2,2,2,2,1,2
10788,59,24,1477,12,3,12,1,2,18.615385055542,34.5714302062988,47.45454406738279,49.25,12.1000003814697,1,1,1,3,1,2
48793,110,11,2787,20,1,11,1,1,34.0,52.30769348144529,34.5,37.222221374511705,34.0,1,1,1,3,1,2
29455,27,22,3667,6,3,9,1,1,39.92307662963871,74.1428604125977,34.0,30.875,43.25,2,2,2,2,1,2
48128,12,11,2191,4,2,9,1,2,0.0,0.0,0.0,0.0,0.0,0,1,1,2,2,1
34843,144,18,266,7,2,6,1,2,59.0999984741211,84.42857360839841,34.5555572509766,31.1111106872559,16.4166660308838,2,2,0,2,2,2
3525,88,0,1824,4,3,7,1,2,20.4545459747314,32.1428565979004,30.0,26.25,0.0,2,0,0,2,2,2
59890,84,3,508,6,2,8,1,1,46.111110687255895,59.2857131958008,47.45454406738279,49.25,83.0,2,2,0,2,2,2
44854,60,15,750,12,3,10,1,2,47.5,81.42857360839841,85.6666641235352,78.25,0.0,1,2,1,2,2,2
24274,48,4,2116,5,3,10,1,2,37.25,74.5,45.7999992370605,43.5999984741211,223.5,1,1,1,2,1,2
18010,129,9,3067,5,2,8,1,2,37.1428565979004,43.3333320617676,21.0,16.1428565979004,86.6666641235352,2,2,1,2,1,2
43033,62,5,1195,5,2,10,1,2,26.2666664123535,49.25,49.75,48.75,78.8000030517578,1,2,1,2,2,2
11383,50,13,373,12,3,13,0,1,41.290321350097706,116.36363983154301,32.8499984741211,31.149999618530302,64.0,1,1,1,3,1,2
53076,158,16,3629,4,3,11,1,1,33.9166679382324,58.1428565979004,29.0,21.875,81.4000015258789,1,1,1,2,1,2
11745,97,13,3691,3,3,11,1,2,77.55555725097659,87.25,35.2999992370605,34.5,349.0,2,2,1,2,2,2
56837,34,21,2673,12,2,10,1,2,24.9599990844727,62.4000015258789,47.45454406738279,49.25,0.0,2,2,2,2,2,2
45351,60,15,654,4,3,13,1,2,22.4545459747314,61.75,121.5,125.5,32.9333343505859,2,2,2,3,2,2
10600,59,24,2571,9,3,8,1,2,27.9411773681641,105.555557250977,92.1999969482422,97.8000030517578,950.0,2,2,1,3,1,2
33647,37,18,763,8,2,7,1,2,47.125,62.8333320617676,39.4000015258789,60.0,377.0,2,2,2,2,2,2
41781,7,5,2936,4,2,15,1,2,64.25,192.75,71.9000015258789,82.3000030517578,385.5,2,2,2,2,1,2
24975,18,12,3424,7,3,13,1,1,57.1333351135254,95.2222213745117,76.3333358764648,99.75,12.070422172546401,1,1,1,2,1,2
16034,44,17,2178,3,3,13,1,2,38.294116973877,72.3333358764648,66.40000152587889,63.7999992370605,65.09999847412111,2,1,1,3,2,2
3034,96,0,3430,6,2,12,1,1,49.5833320617676,74.375,59.25,89.5,297.5,2,2,2,2,1,2
57359,87,21,2727,14,3,12,1,2,33.8666648864746,63.5,23.9090900421143,22.272727966308604,0.0,1,1,1,2,1,2
30637,125,23,629,4,3,8,1,2,48.25,64.3333358764648,33.5,30.8333339691162,55.1428565979004,2,2,2,2,2,2
18154,129,9,2297,4,2,8,1,2,40.125,80.25,83.0,155.0,0.0,1,2,1,2,1,2
48154,12,11,1449,8,2,6,1,2,34.3571434020996,60.125,113.0,127.5,0.0,2,2,1,2,1,2
41457,7,5,2973,24,3,9,1,2,55.5185203552246,166.555557250977,62.6666679382324,124.5,249.83332824707,2,2,1,2,2,2
5374,127,8,2516,4,3,14,1,1,42.5555572509766,47.875,24.25,23.625,27.3571434020996,1,1,1,2,2,2
17171,64,9,1209,5,2,10,1,2,37.5454559326172,51.625,54.5,39.0,0.0,1,1,1,2,2,1
18909,116,14,3624,5,1,7,1,2,38.5,44.0,33.5,43.5,8.10526275634766,2,1,1,2,2,2
19830,115,14,1571,5,2,14,1,2,26.8571434020996,94.0,47.25,46.75,12.5333337783813,2,1,1,3,1,2
8975,126,24,1974,5,3,7,1,2,38.5,38.5,27.75,30.0,0.0,1,2,1,2,1,2
5962,132,8,2125,6,3,12,1,2,61.75,30.875,29.5,18.4285717010498,0.0,1,1,1,2,1,2
58852,21,3,1335,11,2,10,1,2,36.42856979370121,85.0,70.8000030517578,82.1999969482422,76.5,2,2,2,2,1,2
37631,36,7,850,12,1,9,1,2,60.818180084228494,83.625,81.0,57.5,0.0,2,0,0,2,1,2
12605,154,13,1640,8,2,13,1,2,50.8571434020996,50.8571434020996,88.0,90.0,71.1999969482422,2,2,1,2,2,2
5539,112,8,1695,5,3,8,1,2,18.714284896850604,21.8333339691162,12.3999996185303,13.8000001907349,3.2750000953674303,1,1,1,3,2,2
24279,48,4,2116,5,3,10,1,2,37.25,74.5,45.7999992370605,43.5999984741211,223.5,1,1,1,2,2,2
25906,29,12,3738,5,2,9,1,2,33.875,33.875,34.5,66.5,0.0,2,1,1,2,1,2
10996,25,24,1494,7,3,14,1,2,38.888889312744105,70.0,63.6666679382324,79.5,350.0,1,2,1,3,1,2
25507,61,12,1261,7,2,11,1,2,55.5555572509766,83.3333358764648,24.5,25.5,25.0,2,0,0,2,1,2
46235,30,15,1046,4,3,14,1,2,52.2857131958008,156.85714721679702,137.5,137.0,61.0,2,2,2,3,1,2
820,103,2,2475,4,3,15,1,1,21.0540542602539,51.9333343505859,98.0,96.75,20.5,1,1,1,3,1,3
1898,19,2,2472,4,3,10,1,2,91.4444427490234,91.4444427490234,89.0,94.5,164.600006103516,2,1,1,2,2,2
42006,117,5,3141,6,2,10,1,2,27.0909099578857,49.6666679382324,56.3333320617676,43.0,0.0,2,1,1,2,2,2
48078,12,11,3392,5,2,12,1,2,27.4285717010498,48.0,20.8888893127441,19.6000003814697,128.0,2,2,1,2,2,2
53851,67,16,1671,4,3,10,1,2,46.888889312744105,46.888889312744105,37.1666679382324,33.1666679382324,0.0,2,1,1,2,1,2
44262,70,15,113,4,2,14,1,2,64.09999847412111,58.2727279663086,37.111110687255895,34.111110687255895,128.199996948242,2,2,1,2,1,2
41908,7,5,3165,6,2,8,1,2,34.25,34.25,36.0,32.5,91.3333358764648,2,2,1,2,1,2
8043,58,24,1753,6,3,12,1,1,30.555555343627898,45.8333320617676,27.0,35.0,137.5,2,1,2,2,2,2
32090,137,23,2321,1,2,9,1,2,32.8571434020996,32.8571434020996,19.5,22.600000381469698,0.0,2,2,1,2,1,2
23492,106,4,3608,6,3,10,1,2,41.6363639831543,45.7999992370605,53.0,38.5999984741211,0.0,1,1,1,2,2,2
21123,143,19,1587,5,2,10,1,2,40.0,34.2857131958008,19.3333339691162,20.6666660308838,0.0,2,2,1,2,2,2
36733,156,7,650,7,2,11,1,2,35.0,122.5,58.0,129.0,0.0,2,1,1,2,2,1
43040,62,5,1195,8,2,12,1,2,26.2666664123535,49.25,49.75,48.75,78.8000030517578,1,2,1,2,2,2
21985,142,19,2032,6,3,10,1,1,18.0625,48.1666679382324,38.5,33.75,96.3333358764648,2,2,1,3,1,2
33224,38,23,3627,17,3,6,1,2,33.2727279663086,61.0,58.6666679382324,63.3333320617676,0.0,2,1,2,2,1,2
4512,118,0,3736,9,1,12,1,2,0.75,1.5,0.3333333432674411,1.6666666269302401,0.0,0,0,0,2,2,2
49147,128,11,3224,7,2,10,1,2,47.7777786254883,71.6666641235352,52.25,55.25,430.0,2,1,1,2,2,2
17091,64,9,3343,6,2,9,1,2,33.2999992370605,47.5714302062988,65.6666641235352,45.3333320617676,13.3199996948242,2,1,1,2,1,2
59457,123,3,3100,10,3,10,1,2,35.7999992370605,71.5999984741211,68.0,51.3333320617676,71.5999984741211,2,2,1,2,1,2
34562,144,18,375,5,3,11,1,2,51.6800003051758,107.666664123535,127.199996948242,164.0,161.5,2,1,1,3,1,1
14547,53,17,1461,7,1,7,1,2,55.7142868041992,48.75,20.3999996185303,18.6000003814697,0.0,2,2,1,2,2,4
13029,111,13,1757,6,3,13,1,1,64.5,43.0,31.75,26.2000007629395,0.0,1,2,1,2,2,2
41305,108,5,1337,5,2,14,1,2,65.5,81.875,66.40000152587889,80.75,163.75,2,2,1,2,1,2
31637,155,23,3644,4,3,11,1,2,32.048782348632805,109.5,68.59999847412111,78.5,65.6999969482422,2,1,1,3,1,2
51469,138,10,3257,4,3,15,1,2,74.8000030517578,124.666664123535,106.0,143.33332824707,249.33332824707,1,2,1,2,1,2
29954,91,22,1964,10,2,11,1,2,46.1428565979004,53.8333320617676,46.0,34.75,32.2999992370605,1,2,1,2,2,2
26285,85,12,3441,5,2,8,1,1,34.4117660522461,73.125,35.625,37.5,29.25,2,2,1,2,1,0
48042,109,11,1509,7,2,7,1,2,39.7999992370605,74.625,48.8333320617676,50.6666679382324,0.0,2,2,1,1,2,2
5478,127,8,2086,6,2,15,1,2,28.0,35.0,37.5,32.5,56.0,2,1,1,3,2,2
40916,10,5,3080,13,3,12,1,2,29.75,47.5999984741211,25.600000381469698,49.25,79.3333358764648,2,1,1,2,2,2
42786,89,5,737,6,3,10,1,2,30.7000007629395,43.8571434020996,46.0,56.3333320617676,102.333335876465,1,1,1,2,1,2
39779,35,20,2676,7,3,7,1,2,34.625,39.57143020629879,38.5,30.75,0.0,2,2,2,2,2,2
49967,2,10,2222,5,2,11,1,2,30.238094329834,79.375,29.0909099578857,35.0,63.5,2,2,2,2,1,4
18920,116,14,859,4,2,15,1,2,18.0,21.0,15.75,15.75,21.0,1,2,2,2,2,2
29760,27,22,2151,4,2,14,1,2,33.9090919494629,62.1666679382324,42.75,50.5,373.0,2,2,2,2,2,2
20219,78,14,2863,8,2,12,1,2,39.6666679382324,34.0,23.2000007629395,24.399999618530302,0.0,2,2,1,2,1,2
20359,78,14,2844,4,3,8,1,2,72.6666641235352,72.6666641235352,34.3333320617676,38.3333320617676,436.0,2,2,1,2,2,2
42379,117,5,2050,6,2,8,1,2,51.0,73.6666641235352,69.1999969482422,63.4000015258789,165.75,2,2,1,2,2,2
7918,58,24,2283,7,3,10,1,2,46.1428565979004,53.8333320617676,81.0,80.5,16.1499996185303,1,2,1,2,1,2
22351,114,19,474,6,3,14,1,1,12.75,25.5,19.5,18.75,76.5,1,1,1,3,1,2
6500,22,8,3074,3,3,11,1,2,22.600000381469698,16.1428565979004,7.14285707473755,9.0,0.0,2,2,1,2,1,2
42667,89,5,159,6,3,12,1,1,36.0,54.0,21.7000007629395,21.5,144.0,1,2,1,2,1,2
36114,46,7,871,4,3,12,1,2,38.4166679382324,57.625,23.444444656372102,27.7777786254883,38.4166679382324,1,1,1,2,2,2
39321,141,20,85,12,3,10,1,2,33.4117660522461,63.111110687255895,61.4000015258789,52.2000007629395,0.0,2,2,1,2,1,2
6358,100,8,1170,3,3,12,1,2,17.2000007629395,36.8571434020996,18.0,18.857143402099602,0.0,2,2,1,2,1,2
58003,13,21,613,7,2,13,1,2,40.6666679382324,52.2857131958008,48.75,42.75,18.2999992370605,2,2,1,2,1,2
23243,33,4,3543,2,2,7,1,2,20.25,30.375,10.6666669845581,9.583333015441891,48.5999984741211,2,2,1,2,2,2
19584,104,14,2561,6,1,9,1,1,46.5,62.0,75.5,64.0,93.0,2,2,1,3,1,1
17216,64,9,2396,4,3,11,1,2,49.5,56.5714302062988,91.0,107.0,24.75,2,2,1,2,1,2
11659,97,13,2529,7,2,13,1,2,51.3333320617676,61.5999984741211,44.5,32.5,0.0,2,2,1,2,2,2
60730,11,3,591,6,3,14,1,2,32.25,80.625,51.0,56.5,0.0,2,2,1,2,1,2
39472,35,20,157,6,3,7,1,2,37.5,50.0,36.5,77.0,37.5,2,2,2,2,1,2
27600,151,12,3500,4,3,13,1,2,103.066665649414,220.857147216797,192.5,194.0,0.0,2,2,2,3,1,2
16855,51,9,1877,8,3,7,1,2,38.3333320617676,46.0,53.5,61.5,0.0,2,2,1,2,2,2
4353,118,0,711,8,1,16,1,2,24.9333324432373,37.4000015258789,17.3333339691162,45.0,37.4000015258789,2,0,0,2,2,2
32692,38,23,3657,7,3,9,1,2,29.117647171020497,110.0,83.1666641235352,81.8333358764648,76.1538467407227,2,2,1,2,1,1
13378,20,13,532,6,3,14,1,2,17.4285717010498,40.6666679382324,24.1111106872559,16.5555553436279,18.2999992370605,2,0,0,2,2,2
14951,93,17,1235,7,2,12,1,2,47.6071434020996,102.53845977783199,37.4444427490234,43.9333343505859,26.6599998474121,2,2,1,3,2,2
40371,39,5,875,5,2,9,1,2,24.6666660308838,46.25,23.625,30.1666660308838,0.0,2,2,1,2,2,2
314,56,2,2768,5,3,16,1,2,27.25,36.3333320617676,17.5,18.8333339691162,27.25,1,1,1,2,1,2
25047,82,12,3482,3,3,10,1,1,34.2142868041992,59.875,38.3333320617676,41.5,79.8333358764648,2,2,1,2,2,2
11068,25,24,1112,4,2,12,1,2,28.0,40.0,40.25,29.75,4.51612901687622,2,2,1,3,2,4
13290,20,13,3041,5,3,10,1,2,13.5,18.0,50.0,58.0,0.0,2,2,1,2,1,2
35602,41,7,92,10,2,6,1,2,47.5,95.0,57.4000015258789,56.5999984741211,0.0,1,2,1,2,2,2
30729,26,23,810,9,3,13,1,2,56.5714302062988,66.0,47.45454406738279,49.25,0.0,2,2,2,2,1,2
25976,29,12,273,5,2,12,0,2,6.22222232818604,8.0,5.5,3.2857143878936803,0.0,2,2,0,2,2,2
34917,144,18,3502,6,2,12,1,2,42.684211730956996,162.199996948242,81.5,80.6999969482422,81.0999984741211,2,2,1,3,2,2
14812,93,17,2535,5,3,13,1,2,32.0,69.3333358764648,41.2000007629395,42.0,0.0,1,1,1,2,1,2
10285,92,24,1958,11,3,10,1,2,28.6666660308838,71.6666641235352,42.4000015258789,43.5999984741211,86.0,1,1,1,3,2,2
52722,119,16,3683,5,2,7,1,1,33.3333320617676,42.8571434020996,26.3333339691162,23.6666660308838,42.8571434020996,2,2,2,3,1,2
15212,130,17,3635,5,3,16,1,2,43.9090919494629,111.46154022216801,124.166664123535,117.333335876465,96.5999984741211,2,2,2,3,2,2
33509,37,18,1684,7,2,14,1,2,30.375,40.5,30.25,40.6666679382324,3.796875,1,1,1,2,1,2
50627,23,10,2412,11,2,12,1,2,40.2727279663086,63.2857131958008,18.5,18.4166660308838,0.0,2,2,2,2,2,2
24331,48,4,645,5,3,10,1,1,25.384614944457997,82.5,85.0,80.0,8.91891860961914,2,1,1,2,2,2
19734,115,14,1211,7,3,7,1,2,26.461538314819304,688.0,41.375,44.625,34.4000015258789,2,2,1,3,1,2
11230,25,24,2651,8,3,15,1,2,24.375,48.75,47.5,50.0,195.0,2,1,1,3,1,2
51656,138,10,3743,5,3,8,1,2,46.105262756347706,73.0,48.5555572509766,48.7777786254883,4.38000011444092,1,2,1,2,1,2
610,103,2,2778,5,2,14,1,2,39.5,56.4285697937012,34.0,31.8333339691162,79.0,2,2,2,2,1,2
35010,45,7,1446,6,2,14,1,2,16.75,41.875,24.0,31.8333339691162,111.666664123535,1,1,1,2,1,2
47425,134,11,3206,8,3,16,1,2,75.5999984741211,63.0,36.4000015258789,39.2000007629395,94.5,1,1,1,2,1,2
43906,153,15,2834,14,2,6,1,2,46.3636360168457,85.0,96.6666641235352,73.3333358764648,170.0,2,2,1,2,2,1
40527,39,5,3122,4,2,11,1,2,26.5625,60.7142868041992,36.5,34.3333320617676,0.0,2,1,1,2,1,2
56743,34,21,2982,8,3,7,1,2,46.6666679382324,175.0,184.0,110.666664123535,140.0,2,1,1,2,2,2
14529,53,17,2491,10,3,12,1,2,47.9000015258789,79.8333358764648,33.8571434020996,34.5714302062988,2.3949999809265097,1,2,1,3,1,2
36208,46,7,2724,3,1,13,1,2,10.814814567565902,73.0,36.5,36.5,146.0,2,2,1,3,2,2
56784,34,21,781,14,2,10,1,1,26.103448867797898,75.6999969482422,59.1666679382324,67.0,75.6999969482422,1,2,1,2,1,2
60038,84,3,221,6,3,6,1,2,50.625,57.8571434020996,38.8333320617676,28.6666660308838,0.0,2,0,0,2,1,2
29185,139,22,3639,10,2,15,1,1,38.461540222168004,50.0,34.5714302062988,51.5999984741211,166.66667175293,2,2,1,2,2,2
14164,43,17,1189,10,3,12,1,1,55.4249992370605,184.75,226.199996948242,217.199996948242,22.1700000762939,2,2,1,3,1,2
35064,45,7,1138,8,2,12,1,1,57.0,89.5714263916016,55.3333320617676,49.1666679382324,0.0,2,2,1,2,2,2
57687,79,21,114,9,3,9,1,2,56.5999984741211,80.8571395874023,72.75,68.75,283.0,1,1,1,2,2,2
55020,102,6,1820,12,2,11,1,2,36.4090919494629,89.0,41.5,32.1666679382324,0.0,2,2,0,2,1,2
34643,144,18,950,9,2,9,1,2,48.54545593261721,89.0,69.5,64.0,0.0,2,2,2,2,1,2
27058,81,12,686,5,2,11,1,2,36.7241363525391,66.5625,88.5,106.800003051758,21.2999992370605,2,2,2,3,2,2
8627,148,24,1458,6,3,15,1,2,28.3333339691162,74.375,27.272727966308604,26.818181991577102,39.6666679382324,2,1,1,3,1,2
731,103,2,2388,7,2,7,1,2,74.75,74.75,53.5,69.25,85.42857360839841,2,1,1,2,2,2
60784,16,3,3109,5,3,10,1,2,36.8918914794922,136.5,168.5,115.166664123535,0.0,1,1,1,2,2,2
32831,38,23,3660,18,2,11,1,2,25.965517044067397,251.0,138.0,113.0,150.600006103516,2,2,1,2,2,2
28725,140,22,3068,7,2,10,1,2,42.222221374511705,54.2857131958008,24.0,20.5,12.6666669845581,1,2,1,2,2,2
4906,1,0,2371,3,2,8,1,2,30.375,48.5999984741211,59.75,61.75,9.72000026702881,2,2,1,2,2,1
25943,29,12,505,4,3,6,1,2,62.5,41.6666679382324,27.8571434020996,25.7142848968506,0.0,1,1,1,2,2,2
31436,157,23,895,6,2,7,1,2,46.6666679382324,93.3333358764648,97.6666641235352,89.0,0.0,2,2,2,2,1,2
24905,18,12,2359,8,3,8,1,2,48.6428565979004,97.2857131958008,44.375,40.75,56.75,1,1,1,3,2,2
17122,64,9,2560,8,2,14,1,2,33.625,53.7999992370605,47.45454406738279,49.25,134.5,2,1,1,2,1,2
53252,72,16,1881,3,3,7,1,2,14.1999998092651,14.1999998092651,13.0,10.6666669845581,0.0,1,1,1,2,2,1
42302,117,5,1139,11,1,12,1,2,50.5555572509766,75.8333358764648,33.3333320617676,42.5,0.0,2,2,1,2,2,2
38187,135,20,1418,7,3,13,1,2,46.3333320617676,52.125,68.6666641235352,70.3333358764648,83.4000015258789,2,2,1,2,1,2
51636,138,10,921,8,2,14,1,2,35.777778625488295,46.0,20.875,19.375,24.769229888916,2,2,2,2,2,2
11088,25,24,36,12,3,12,1,2,39.0,46.7999992370605,62.5,54.5,58.5,2,2,1,3,1,2
22664,124,19,497,7,3,7,1,0,71.1666641235352,61.0,117.5,64.0,0.0,2,2,1,2,1,0
53773,120,16,635,5,2,10,1,1,50.5,67.3333358764648,49.7142868041992,36.8571434020996,60.5999984741211,2,2,1,2,2,2
36154,46,7,1135,5,2,9,1,2,20.6666660308838,44.2857131958008,85.0,70.0,51.6666679382324,2,2,2,2,1,2
